gene    type    p_val   value
RYBP    Loss    0.01    -0.09
NIT2    Loss    0.01    -0.11
PIK3CB  Loss    0.01    -0.08
ATR     Loss    0.01    -0.14
PIK3CA  Loss    0.01    -0.14
UGT2B17 Loss    0.01    -0.99
ENPEP   Loss    0.01    -0.12
FBXW7   Loss    0.01    -0.13
PIK3R1  Loss    0.01    -0.11
CHD1    Loss    0.01    -0.17
APC     Loss    0.01    -0.11
DRD1    Loss    0.01    -0.08
ZBTB9   Loss    0.01    -0.2
HDAC2   Loss    0.01    -0.2
FAM183B Loss    0.01    -0.11
CDK6    Loss    0.01    -0.16
LRRC17  Loss    0.01    -0.14
MET     Loss    0.01    -0.12
BRAF    Loss    0.01    -0.07
KMT2C   Loss    0.01    -0.08
NKX3-1  Loss    0.01    -0.06
PXDNL   Loss    0.01    -0.12
NCOA2   Loss    0.01    -0.11
MYC     Loss    0.01    -0.06
CDKN2A  Loss    0.01    -0.13
FANCG   Loss    0.01    -0.11
GRHPR   Loss    0.01    -0.06
C9orf47 Loss    0.01    -0.1
FANCC   Loss    0.01    -0.09
PTEN    Loss    0.01    -0.18
CCND1   Loss    0.01    -0.3
RSF1    Loss    0.01    -0.06
ATM     Loss    0.01    -0.09
ZBTB16  Loss    0.01    -0.08
CDKN1B  Loss    0.01    -0.07
KRAS    Loss    0.01    -0.14
KMT2D   Loss    0.01    -0.11
CDK4    Loss    0.01    -0.11
MDM2    Loss    0.01    -0.09
MTIF3   Loss    0.01    -0.08
BRCA2   Loss    0.01    -0.15
RB1     Loss    0.01    -0.16
FOXA1   Loss    0.01    -0.15
ATG14   Loss    0.01    -0.07
RAD51B  Loss    0.01    -0.13
AKT1    Loss    0.01    -0.37
MESDC2  Loss    0.01    -0.09
IDH2    Loss    0.01    -0.1
PALB2   Loss    0.01    -0.09
CYLD    Loss    0.01    -0.09
TK2     Loss    0.01    -0.12
ZFHX3   Loss    0.01    -0.13
FANCA   Loss    0.01    -0.31
OR3A3   Loss    0.01    -0.14
TP53    Loss    0.01    -0.23
CDK12   Loss    0.01    -0.2
BRCA1   Loss    0.01    -0.17
SPOP    Loss    0.01    -0.22
RNF43   Loss    0.01    -0.09
RAD51C  Loss    0.01    -0.11
BRIP1   Loss    0.01    -0.1
RNF125  Loss    0.01    -0.09
ERCC2   Loss    0.01    -0.28
